中文术语,越南语翻译
车床,máy ti?n
铣床,máy phay
磨床,máy mài
钻床,máy khoan
数控机床,máy CNC
加工中心,trung tam gia c?ng
冲床,máy d?p
注塑机,máy ép nh?a
粗加工,gia c?ng th?
精加工,gia c?ng tinh
热处理,x? ly nhi?t
表面处理,x? ly b? m?t
焊接,hàn
装配,l?p ráp
调试,hi?u ch?nh
公差,dung sai
粗糙度,?? nhám
合格品,s?n ph?m ??t yêu c?u
不合格品,s?n ph?m kh?ng ??t
返工,làm l?i
报废,lo?i b?
防护罩,V? b?o v?
紧急停止,d?ng kh?n c?p
安全操作规程,quy trình v?n hành an toàn
劳保用品,?? b?o h? lao ??ng
开机,kh?i ??ng máy
关机,t?t máy
检查,ki?m tra
更换,thay th?
清洁,v? sinh
加油,tra d?u
注意,chú y
危险,nguy hi?m
缝头压痕,h?n ép ??u may
中文术语,越南语翻译
1号色,Màu 1
FACE章,m?c FACE
PE膜,b?c PE
PE膜包装机,Máy ?óng b?c PE
安排,S?p x?p
安全第一,An toàn là trên h?t
按一等反馈,"C?p 1, ph?n h?i"
暗室,phòng xem màu
白,tr?ng
白度,?? tr?ng
白胶带纸,keo l?a
百,"tr?m, m?t tr?m, s? 100"
班长,ca tr??ng
办公室,v?n phòng
半成品,bán thành ph?m
包,"bao, b?c, gói"
包缝机,máy may ??u may
包缝线,ch? may ??u may
包装工,nhan viên ?óng gói
包装机,máy ?óng gói
包装要求,Yêu c?u ?óng gói
保卫,b?o v?
笔,Bút
笔记本,v? ghi chép
编织袋,bao ?óng gói
标签,tem bara
标准,Tiêu chu?n
不交货,kh?ng giao hàng
不明白,kh?ng hi?u
布边对齐,C?n ch?nh biên v?i
布笼,L?ch v?i
布头,??u v?i
布尾,cu?i v?i
布样,v?i m?u
布样工,nhan viên v?i m?u
布样室,phòng v?i m?u
布中,gi?a v?i
部门,b? ph?n
裁切机,máy c?t
参观,tham quan
餐厅,nhà ?n
操作质量员,thao tác ch?t l??ng viên
厕所,"tolet, nhà v? sinh, wc"
测量,?o l??ng
测长轮,Bánh ?o dài
查系统,Ki?m tra h? th?ng
产量,S?n l??ng
成品,thành ph?m
吃,?n
尺子,th??c ?o
充电,s?c ?i?n
充电宝,s?c d? phòng
充电器,"c?c s?c, b? n?p ?i?n"
抽验,Rút ki?m
抽样检验,Ki?m tra v?i m?u
出勤,?i?m danh
出勤人数,S? ng??i ?i?m danh (S? ng??i lên ca)
处理,X? ly
穿布,xuyên v?i
穿错,Xuyên sai
传感器失灵,C?m bi?n h?
传送带,b?ng v?n chuy?n
疵点,?i?m l?i
错织,d?t sai
打标签,In tem
打卡,"?i?m danh, ch?m c?ng"
打领用单,?ánh l?nh dùng
打扫卫生,d?n d?p v? sinh
打印机,máy in
戴帽子,??i nón(m?)
倒正,xu?i úp
等外,C?p ngoài
底灯,?èn d??i
点名,?i?m danh
电动搬运车,xe nang ?i?n
电脑,máy vi tính
调整张力,?i?u ch?nh l?c c?ng
丁字尺,th??c ?inh
订书机,cái kim b?m
定期润滑,B?i tr?n ??nh k?
段,"?o?n, cu?n"
段号,S? cu?n
断纱,??t s?i
二等,c?p 2
发货,phát hàng
发送,"g?i, phát"
反馈,Ph?n h?i
反馈单,??n ph?n h?i
返工流程,Quy trình ph?n h?i
防潮包装,?óng gói ch?ng th?m
纺纱,s?i
放码,Cho qua (Free)
分色,Phan màu
缝包机,máy may bao
缝包线,ch? may bao
缝纫机,máy may
缝缝头,May ??u v?i
缝头,??u may
幅宽,kh? r?ng
复检,Ki?m l?i
改色号,S?a màu
格子,?
更换布卷,Thay cu?n v?i
工具,C?ng c?
工伤,Tai n?n lao ??ng
工资,"l??ng, ti?n l??ng"
工作,c?ng vi?c
工作服,??ng ph?c
公司,c?ng ty
挂钩,cái móc
关,?óng / T?t
管理,Qu?n ly
过来,"qua ?ay, l?i ?ay, sang ?ay"
过去,"qua, ?i qua, quá kh?, tr??c ?ay"
号码,"s?, s? th? t?"
喝饮料,u?ng th?c u?ng
合格标准,Tiêu chu?n ??t
合同,h?p ??ng
合同交期,Ngày giao hàng
合同数量,S? l??ng h?p ??ng
黑,?en
红,??
红箭头,m?i tên ??
黄,vàng
计划,k? ho?ch
计划员,k? ho?ch viên
计算机,máy tính
记录数据,Ghi chép d? li?u
加班,T?ng ca
剪子,kéo
交货,Giao (hàng)
交接班,giao ca
交期,ngày giao hàng
胶带纸,b?ng keo gi?y
接地检查,Ki?m tra n?n x??ng
接收,ti?p nh?n
借用,m??n dùng
紧急停止按钮,Nút d?ng kh?n c?p
经缩,Chùn d?c
静电干扰,Nhi?u t?nh ?i?n
卷布速度,T?c ?? cu?n v?i
卷尺,th??c day
开,M?
开车,ch?y máy
开会,H?p
开剪,c?t v?i
开台数量,S? máy ?ang ho?t ??ng
看荧光,xem hu?nh quang
考核,Kh?o h?ch
考试,ki?m tra
克重,"S? can (tr?ng l??ng)
Gram/m2 (GSM)"
客户,khách hàng
客户反馈,Khách hàng ph?n h?i
空调,máy lA?nh
空压机,máy nén khí
口罩,kh?u trang
快,nhanh
旷工,ngh? kh?ng phép
垃圾（桶）,rác (thùng ??ng rác)
垃圾分类,phan lo?i rác
拉杆,Cán kéo
蓝,"xanh lam, xanh da tr?i"
离职,Ngh? vi?c
量布,?o v?i
量布工,nhan viên ?o v?i
量布机,máy ?o v?i
零布,v?i th?a
领布,l?nh v?i
领导,"s?p, l?nh ??o"
领用,L?nh dùng
